ngrams,n
details,11550
cute,11541
press,11509
council,11494
financial,11488
minute,11467
test,11463
safe,11462
private,11446
learning,11439
beach,11439
kid,11419
despite,11411
sitting,11409
difficult,11405
text,11394
michael,11384
note,11373
bowl,11365
ground,11339
hospital,11334
lose,11329
ha,11326
completely,11316
eye,11313
development,11288
pictures,11288
workers,11281
double,11275
tickets,11255
box,11236
higher,11222
ice,11213
wall,11209
certain,11205
hall,11201
quickly,11183
role,11169
type,11163
winning,11157
listen,11142
written,11113
character,11096
position,11088
rain,11070
chief,11068
industry,11064
release,11060
listening,11057
color,11053
straight,11048
truth,11045
tour,11036
message,11015
chicken,11004
complete,10999
security,10998
serious,10986
involved,10986
evening,10983
itself,10975
changes,10974
eating,10963
performance,10954
created,10950
starts,10944
changed,10934
restaurant,10921
de,10920
judge,10919
finish,10914
floor,10900
dad,10897
tired,10891
stage,10870
international,10863
comment,10849
eight,10843
force,10842
ahead,10829
miles,10809
upon,10797
daily,10796
portland,10757
sit,10752
kept,10748
photo,10729
expect,10686
defense,10686
figure,10678
sister,10672
wear,10667
chris,10655
sick,10640
average,10637
gift,10621
data,10621
interested,10617
july,10612
chocolate,10610
account,10599
released,10589
speak,10584
die,10581
quality,10581
spending,10581
born,10580
anyway,10578
bank,10576
begin,10574
feels,10572
helped,10558
land,10554
spot,10544
quarter,10540
driving,10511
economic,10506
total,10496
rights,10487
relationship,10486
pain,10466
calls,10459
original,10440
economy,10428
runs,10408
statement,10397
rate,10396
foot,10381
similar,10354
proud,10344
walking,10334
further,10330
internet,10303
beginning,10294
allowed,10287
growing,10287
biggest,10285
etc,10273
gives,10245
clean,10243
trust,10227
period,10226
size,10219
allow,10216
quick,10210
cheese,10207
places,10207
manager,10185
catch,10165
photos,10159
fair,10156
fell,10145
shop,10143
happens,10139
amount,10117
cream,10114
review,10113
beyond,10109
blood,10095
interview,10095
leaving,10088
here's,10087
build,10083
certainly,10075
radio,10064
tweets,10062
senior,10042
scene,10041
republican,10034
sale,10034
hotel,10034
version,10027
oregon,10007
poor,9992
contact,9985
earth,9983
below,9940
present,9930
ended,9909
executive,9901
hurt,9885
property,9883
situation,9866
hearing,9863
seemed,9856
credit,9849
natural,9847
named,9845
rose,9830
lord,9824
employees,9805
songs,9801
library,9781
consider,9767
increase,9748
river,9744
mention,9701
mike,9697
sort,9690
garden,9684
lady,9673
union,9670
sold,9652
planning,9642
mix,9634
choose,9634
truly,9629
ride,9622
wearing,9616
f,9609
reported,9575
common,9569
thoughts,9552
tough,9548
worst,9545
king,9536
killed,9499
link,9494
texas,9493
warm,9486
l,9486
regular,9484
value,9481
absolutely,9480
gas,9470
result,9467
fear,9442
putting,9434
taste,9428
projects,9420
lovely,9414
effort,9408
potential,9401
winter,9401
dude,9392
sat,9387
ran,9384
asking,9380
computer,9375
results,9373
teacher,9369
safety,9358
rules,9352
via,9334
block,9321
cake,9306
missing,9278
central,9276
who's,9275
built,9267
products,9266
grow,9259
fourth,9259
touch,9236
travel,9222
article,9222
fit,9201
enjoyed,9200
telling,9185
costs,9177
hoping,9165
annual,9158
smith,9142
committee,9133
attorney,9127
imagine,9114
everybody,9113
throughout,9112
sell,9109
meant,9107
reach,9099
mostly,9096
watched,9096
families,9086
holiday,9076
kitchen,9069
base,9064
peace,9051
included,9026
trade,9022
sugar,9020
difference,9019
healthy,8987
closed,8985
smile,8981
cards,8977
square,8957
society,8956
apparently,8935
nd,8935
cant,8925
official,8906
leaders,8900
hopefully,8899
opened,8890
realize,8888
groups,8887
technology,8867
romney,8866
english,8864
draft,8856
lucky,8855
characters,8830
drop,8819
election,8811
growth,8805
weight,8792
bottom,8788
includes,8779
announced,8779
showed,8777
calling,8768
lake,8761
reality,8755
forever,8754
fat,8738
movies,8714
legal,8710
dear,8704
currently,8694
serve,8673
lower,8672
google,8661
popular,8654
vs,8644
onto,8644
prices,8641
policy,8633
toward,8627
loves,8620
supposed,8618
kill,8613
risk,8595
ill,8587
slow,8579
anymore,8558
caught,8558
snow,8552
positive,8540
teachers,8529
florida,8527
throw,8526
french,8519
search,8517
served,8511
bus,8501
records,8492
shopping,8487
fish,8481
downtown,8479
session,8470
except,8467
faith,8462
numbers,8459
agreed,8452
baseball,8440
q,8439
signed,8433
keeping,8419
stupid,8418
station,8412
folks,8412
cancer,8408
appreciate,8408
mad,8391
residents,8390
filled,8384
latest,8354
nature,8345
customers,8345
pieces,8333
officer,8332
agency,8331
breakfast,8317
los,8316
immediately,8315
tea,8305
access,8294
winner,8275
worse,8262
product,8262
stopped,8260
older,8257
image,8257
orange,8252
cook,8246
rich,8244
tree,8236
science,8235
january,8220
traffic,8200
grand,8194
posted,8194
bag,8190
basketball,8183
mayor,8180
finding,8178
dress,8172
pop,8167
weird,8164
related,8153
author,8150
george,8137
ability,8136
marriage,8135
liked,8120
walked,8114
letter,8113
bay,8110
wide,8109
programs,8108
unless,8107
evidence,8101
joe,8099
picked,8087
previous,8087
americans,8074
bro,8073
sharing,8061
award,8060
nine,8042
areas,8033
till,8032
gold,8010
goals,8007
today's,8005
shooting,7993
leading,7969
eventually,7969
info,7962
plays,7958
response,7955
items,7952
lack,7944
owner,7942
brain,7929
lived,7924
contract,7918
address,7910
roll,7906
mail,7903
crowd,7902
officers,7898
insurance,7898
language,7893
lines,7890
cases,7885
drug,7873
cash,7872
overall,7869
gay,7864
secret,7864
parts,7862
receive,7854
marketing,7842
train,7835
considered,7819
dreams,7818
reports,7813
comments,7811
stock,7808
cross,7786
network,7786
headed,7768
effect,7766
wedding,7761
production,7739
helping,7739
normal,7737
tom,7734
hill,7714
year's,7702
collection,7694
recipe,7682
addition,7669
speaking,7666
apple,7665
loving,7664
ah,7659
military,7638
creative,7621
valley,7619
clearly,7612
none,7592
austin,7592
robert,7586
voters,7585
raised,7580
nfl,7574
worry,7570
successful,7559
match,7557
culture,7549
respect,7545
justice,7542
twice,7540
various,7517
leader,7514
reasons,7494
museum,7491
doubt,7470
brand,7462
terms,7443
count,7442
wild,7440
content,7436
particular,7434
easily,7429
artist,7426
senate,7412
jones,7409
management,7404
homes,7402
conversation,7397
score,7397
attack,7386
benefits,7384
charge,7379
spirit,7368
degree,7358
shoes,7354
range,7341
soul,7332
standing,7329
offered,7319
indeed,7303
easier,7287
nation,7287
web,7282
notice,7279
thats,7279
heavy,7275
required,7266
concert,7255
holding,7255
bout,7254
shirt,7253
november,7247
showing,7236
modern,7236
al,7235
corner,7232
speed,7228
dry,7224
festival,7218
crime,7214
angeles,7210
johnson,7207
island,7205
cars,7201
lets,7189
trouble,7188
app,7179
broken,7174
ten,7174
realized,7166
model,7165
raise,7160
turns,7159
scored,7150
broke,7150
married,7134
plant,7134
particularly,7131
charges,7127
novel,7127
arrived,7111
stars,7110
y,7106
drinking,7097
shoot,7087
advice,7087
income,7085
names,7083
obviously,7081
rd,7080
studio,7078
thomas,7076
exciting,7075
adding,7073
london,7071
steve,7068
impact,7061
heading,7060
screen,7058
planned,7049
victory,7047
decide,7028
smart,7020
remain,7018
seat,7016
leaves,7010
hasn't,7007
fashion,7001
audience,6998
wake,6993
surprise,6990
shots,6970
knowing,6968
neighborhood,6967
pizza,6964
talked,6959
taxes,6948
plenty,6948
avoid,6945
losing,6937
offers,6932
pull,6921
failed,6909
charged,6901
laugh,6896
hang,6892
organization,6886
pressure,6868
salt,6865
skin,6856
professional,6856
pre,6853
camera,6838
spread,6836
battle,6834
sauce,6825
doctor,6820
dogs,6818
yo,6817
window,6816
subject,6815
scott,6812
february,6800
dollars,6797
shut,6795
investigation,6793
writer,6778
businesses,6775
december,6774
pulled,6771
bigger,6762
boston,6759
surprised,6750
h,6741
seconds,6739
tells,6736
excellent,6735
kick,6723
century,6720
williams,6719
episode,6711
pink,6711
physical,6705
cuts,6705
debt,6702
china,6702
thinks,6701
individual,6701
benefit,6698
camp,6693
christian,6693
arizona,6691
knowledge,6691
reached,6687
guard,6681
bet,6678
commercial,6670
parking,6662
miami,6656
hahaha,6654
holy,6654
trial,6654
selling,6649
avenue,6644
skills,6641
direction,6640
rule,6630
remains,6625
creating,6624
clothes,6610
ryan,6608
hits,6604
fund,6591
source,6581
fantastic,6576
nobody,6572
administration,6571
notes,6571
helps,6571
mouth,6566
approach,6555
section,6551
magic,6543
digital,6542
francisco,6532
christ,6522
somewhere,6520
limited,6519
largest,6519
inspired,6511
yea,6507
delicious,6506
likes,6505
necessary,6501
continued,6498
you'd,6497
global,6495
buying,6488
stuck,6484
state's,6484
beauty,6477
arts,6477
cat,6473
grade,6468
firm,6467
v,6467
paying,6461
flight,6456
push,6454
construction,6452
opinion,6446
jack,6436
cooking,6432
fill,6426
ticket,6426
traditional,6424
willing,6422
mid,6420
dropped,6419
mile,6418
host,6409
closer,6407
anti,6407
joy,6405
cast,6404
pro,6403
designed,6396
happening,6395
coast,6394
efforts,6391
covered,6382
celebrate,6375
ladies,6373
wind,6366
ends,6363
whom,6358
congress,6347
spokesman,6346
yard,6340
provided,6335
somebody,6334
slightly,6330
milk,6327
readers,6322
detroit,6315
ugh,6311
gov,6309
tip,6293
pair,6292
stick,6289
republicans,6286
carry,6285
chinese,6281
movement,6275
talent,6273
menu,6272
ain't,6271
artists,6270
weren't,6265
stores,6265
schedule,6256
enjoying,6254
jim,6254
shall,6253
famous,6247
british,6247
greatest,6245
august,6244
rates,6240
yay,6240
thousands,6236
sea,6233
moments,6232
bread,6231
arrested,6225
published,6224
shout,6219
location,6217
additional,6211
setting,6202
bridge,6194
honor,6192
baltimore,6189
october,6181
fly,6171
commission,6171
martin,6166
teaching,6159
prison,6138
serving,6127
becoming,6126
options,6114
justin,6111
they've,6110
returned,6109
singing,6106
stadium,6096
easter,6095
pool,6091
pages,6077
changing,6077
mobile,6073
grew,6071
killing,6071
forced,6070
rise,6062
golden,6057
freedom,6056
keeps,6055
em,6054
towards,6048
authorities,6042
features,6041
jump,6036
everyday,6035
bright,6030
mother's,6024
uk,6023
nba,6021
possibly,6019
primary,6019
highly,6007
fighting,5985
specific,5976
shouldn't,5969
fellow,5968
kinda,5959
unique,5959
nor,5957
iphone,5949
meat,5948
treatment,5945
turning,5943
denver,5942
cry,5931
explain,5929
flowers,5928
prepared,5927
scheduled,5926
mission,5925
yards,5918
alive,5914
democratic,5912
september,5911
noticed,5908
trees,5905
attempt,5899
code,5894
begins,5889
vegas,5886
significant,5886
countries,5885
random,5884
purpose,5884
unfortunately,5879
feature,5877
option,5872
enter,5869
fruit,5859
matt,5856
promise,5856
fully,5854
forgot,5852
theme,5843
speech,5842
treat,5832
path,5829
majority,5827
western,5826
powerful,5816
airport,5816
teach,5810
bottle,5807
claim,5804
resources,5804
patients,5797
handle,5794
mary,5794
paint,5782
greater,5779
agent,5772
soft,5769
jackson,5768
standard,5764
foundation,5761
quiet,5759
nyc,5759
mentioned,5755
democrats,5754
literally,5752
dc,5748
herself,5748
ourselves,5746
meaning,5745
protect,5744
civil,5743
female,5736
charles,5735
becomes,5734
owners,5733
gotten,5733
journey,5717
continues,5717
tiny,5715
strength,5709
mountain,5702
cities,5700
levels,5699
otherwise,5693
dm,5690
peter,5689
southern,5689
television,5688
measure,5687
purchase,5684
gym,5681
draw,5680
bringing,5676
revenue,5669
brings,5663
appear,5662
labor,5660
decisions,5657
posts,5651
balance,5648
murder,5643
neither,5641
laws,5638
edge,5630
championship,5626
memory,5617
status,5614
images,5610
campus,5609
lie,5609
capital,5592
improve,5588
injury,5585
funding,5583
ff,5583
actual,5578
diego,5577
bunch,5571
leadership,5568
progress,5567
authority,5563
machine,5561
usual,5559
background,5557
tech,5556
compared,5555
appeared,5554
copy,5551
meal,5549
bob,5546
joined,5537
youth,5534
city's,5532
afraid,5532
tournament,5532
wins,5529
seattle,5525
agreement,5523
streets,5522
lately,5521
tho,5519
discovered,5515
exercise,5515
appears,5511
cuz,5508
breaking,5501
extremely,5495
pack,5494
hanging,5492
gorgeous,5492
division,5489
crew,5488
update,5486
nights,5481
bike,5479
accept,5477
sing,5472
amazon,5465
apart,5463
faces,5453
offering,5451
grown,5449
contest,5449
signs,5442
parties,5438
net,5437
debate,5436
guilty,5427
multiple,5423
governor,5419
birth,5418
honest,5413
apartment,5411
aside,5408
rice,5406
magazine,5402
adult,5398
fix,5393
da,5390
activities,5389
target,5387
row,5379
wood,5379
seeking,5374
politics,5370
miller,5357
farm,5356
mothers,5352
steps,5352
santa,5351
wondering,5346
gun,5345
ppl,5345
discussion,5344
sides,5344
org,5344
shape,5343
tim,5333
filed,5331
complex,5328
advantage,5321
vehicle,5320
demand,5311
damage,5307
inspiration,5297
bear,5285
managed,5283
acting,5283
hopes,5280
michigan,5276
animal,5273
basic,5273
boyfriend,5271
thx,5270
criminal,5268
concerned,5265
direct,5264
arms,5258
y'all,5258
partner,5257
missouri,5254
region,5251
he'd,5249
houston,5249
golf,5245
foreign,5243
larger,5242
considering,5241
army,5239
yellow,5238
violence,5237
described,5235
europe,5234
surgery,5232
shared,5226
remove,5216
inc,5216
tweeting,5215
degrees,5214
friendly,5206
van,5203
davis,5201
yours,5200
focused,5199
heads,5197
smaller,5196
giants,5196
ending,5188
younger,5185
request,5185
films,5180
variety,5178
lights,5177
aware,5177
investment,5176
pan,5173
falling,5170
hop,5165
brothers,5162
expensive,5161
funds,5158
egg,5157
thus,5152
wit,5152
era,5152
driver,5152
sky,5146
sucks,5145
truck,5143
slowly,5140
seasons,5138
basically,5137
somehow,5136
eggs,5133
housing,5130
memories,5129
activity,5126
craft,5126
bored,5124
kevin,5119
jr,5118
directly,5117
loud,5116
claims,5113
placed,5107
highest,5102
colors,5096
animals,5091
sites,5091
we'd,5091
writers,5090
population,5089
vacation,5086
decades,5085
junior,5083
crisis,5082
terrible,5081
solid,5080
theater,5077
strange,5075
lee,5069
drinks,5069
bills,5068
colorado,5066
independent,5062
guest,5062
kansas,5062
everywhere,5061
officially,5053
uses,5050
spoke,5045
european,5042
environment,5039
understanding,5036
frank,5036
hundreds,5028
blues,5016
plants,5012
caused,5011
candidate,5003
customer,5003
produce,5002
panel,5002
material,5001
feelings,5000
comfortable,4999
anywhere,4994
attend,4991
familiar,4989
disease,4989
plate,4988
estate,4981
cutting,4981
admit,4981
tips,4976
taught,4975
awards,4973
ordered,4964
banks,4962
proposed,4956
click,4952
decade,4946
earned,4946
rep,4940
blessed,4937
ring,4926
mexico,4921
generally,4920
pic,4919
owned,4918
hungry,4913
emergency,4913
drugs,4912
horse,4909
moon,4903
legs,4902
fifth,4898
effective,4897
trail,4895
quote,4893
impossible,4892
failure,4891
he'll,4878
they'll,4878
windows,4876
concerns,4874
william,4870
millions,4869
salad,4868
medium,4865
smell,4856
dancing,4846
ad,4846
discuss,4840
anybody,4836
approved,4835
actions,4832
brian,4829
require,4825
zone,4825
illinois,4822
joke,4818
leads,4815
sending,4815
alcohol,4813
honestly,4809
defensive,4808
jan,4807
youtube,4806
waste,4804
ms,4795
christie,4795
storm,4791
noted,4791
empty,4789
candidates,4779
connection,4774
videos,4772
print,4769
evil,4767
richard,4761
playoffs,4761
confidence,4751
incredible,4751
pounds,4750
increased,4749
smoke,4743
suddenly,4739
religious,4739
choices,4738
route,4736
fb,4736
stone,4733
sleeping,4730
fox,4728
feed,4727
chairman,4726
vice,4725
dish,4722
phoenix,4722
allows,4721
offense,4720
obvious,4719
staying,4716
suit,4715
adults,4711
opportunities,4711
restaurants,4711
drama,4706
hole,4705
arm,4702
proposal,4697
stress,4694
hadn't,4692
pepper,4687
desire,4685
doors,4684
feb,4682
musical,4681
pleasure,4681
presence,4671
gop,4671
chose,4669
professor,4667
chair,4663
therefore,4662
reduce,4661
pitch,4658
smh,4655
mental,4653
pray,4652
blame,4646
tight,4645
profile,4636
master,4635
challenges,4630
clients,4621
separate,4617
fail,4617
stood,4616
ipad,4616
meanwhile,4615
channel,4614
grace,4614
dollar,4609
remaining,4605
illegal,4603
active,4602
jazz,4601
pants,4601
chapter,4600
generation,4599
mess,4593
tears,4590
ex,4589
systems,4582
mood,4576
atlanta,4568
tony,4562
village,4561
recommend,4558
ed,4557
taylor,4556
awkward,4550
dallas,4548
ingredients,4547
critical,4544
corporate,4543
seek,4542
worried,4535
vision,4533
talks,4532
responsible,4529
native,4529
giant,4527
usa,4518
gain,4516
provides,4516
fabulous,4515
bird,4515
lakers,4514
cell,4513
england,4511
circle,4510
woke,4510
lay,4506
flat,4504
mixed,4494
jeff,4493
harder,4492
emotional,4492
african,4492
conditions,4489
studies,4479
visiting,4479
flying,4478
spanish,4477
ceo,4474
yep,4472
newark,4471
tied,4456
boss,4455
apply,4455
children's,4454
citizens,4446
angry,4441
task,4441
doctors,4437
stayed,4434
cheap,4433
letting,4432
limit,4428
scared,4426
prize,4424
soup,4417
dangerous,4417
unit,4411
ages,4409
entertainment,4409
oven,4408
congratulations,4408
ate,4407
committed,4407
shower,4403
develop,4401
coverage,4400
male,4398
negative,4398
package,4397
plane,4395
struck,4391
drunk,4391
grant,4388
moves,4388
correct,4378
matters,4378
protection,4376
alex,4375
plain,4370
comedy,4368
carolina,4366
beers,4365
exchange,4365
women's,4364
concept,4363
abuse,4357
shown,4356
completed,4356
fingers,4351
nick,4341
god's,4340
whenever,4339
sets,4337
soccer,4336
guide,4335
fired,4334
ugly,4330
chef,4325
rare,4325
produced,4318
markets,4312
suggested,4310
ave,4302
anniversary,4298
chat,4298
juice,4297
tend,4293
investors,4293
flavor,4293
ny,4289
dan,4288
regional,4287
dozen,4285
